1.134384438046254218e-04 4.262732090865029022e-06
6.013559413986513391e-06 1.511216964900086168e-06
6.602810572076123208e-06 3.308203986307489686e-06
6.164586011436767876e-06 5.711121957574505359e-06
5.558647444559028372e-06 9.853351002675481141e-06
5.274663180898642167e-06 1.156977418759197462e-06
5.016147042624652386e-06 2.654815943969879299e-06
4.935585820931009948e-06 1.482237735217495356e-06
4.272445494279963896e-06 1.687363919700146653e-06
4.319872459745965898e-06 1.198406835101195611e-06
4.008135420008329675e-06 3.396376314412918873e-06
3.895277131960028782e-06 2.696785486477892846e-06
3.698393356899032369e-06 3.109376621068804525e-06
3.723083409568062052e-06 5.472322300192900002e-06
3.378105247975327075e-06 1.463701664761174470e-06
3.345514414831995964e-06 1.086207362277491484e-06
2.976411451527383178e-06 3.506895836835610680e-06
3.043132210223120637e-06 1.344028873973002192e-06
2.885018375309300609e-06 1.546837097521347459e-06
2.743831373663851991e-06 6.901799224579008296e-06
2.539988145144889131e-06 3.903434844687581062e-06
2.333972361157066189e-06 1.377165972371585667e-06
2.217015662608901039e-06 1.265719561160949524e-06
2.273575773870106786e-06 1.289220335820573382e-06
1.999986352529958822e-06 5.078384219814324751e-06
1.841446078287845012e-06 1.170293330687854905e-06
1.959821474883938208e-06 1.811717652344668750e-06
1.760391796779003926e-06 1.228765768246375956e-06
1.672643406891438644e-06 2.363744215472252108e-06
1.599458869350200985e-06 1.149557988355809357e-06
1.585208678989147302e-06 1.036201183524099179e-06
1.499080553912790492e-06 1.452411197533365339e-06
1.428016730642411858e-06 9.132559171121101826e-07
1.309198069066042081e-06 1.219011551256699022e-06
1.301983161283715162e-06 1.935317413881421089e-06
1.246193733095424250e-06 2.335790213692234829e-06
1.152138679572090041e-06 1.128181907006364781e-06
1.138299921876750886e-06 8.580390385759528726e-06
1.114806991608929820e-06 8.699179829818604048e-07
9.827688245422905311e-07 1.066283971340453718e-06
9.787614771994412877e-07 8.573339869144547265e-07
9.619244565328699537e-07 7.235257157844898757e-07
9.394985340804851148e-07 1.687437702457827982e-06
8.414781973442586605e-07 2.297402261319803074e-06
8.622602649666077923e-07 1.491991270086145960e-06
7.809892395016504452e-07 1.447601562176714651e-06
7.678378892705950420e-07 1.496643790233065374e-06
7.217049073915404733e-07 1.097120161830389407e-06
7.220824045361950994e-07 8.086337857093894854e-07
6.835625185885874089e-07 7.571633773295616265e-07
6.677822170786384959e-07 1.393729803567111958e-06
6.296044716691540089e-07 9.272331453757942654e-07
6.164009960230032448e-07 9.773254987521795556e-07
6.030327313055749983e-07 1.054081508300441783e-06
5.846113140250963625e-07 6.496137530120904557e-07
5.525100732484133914e-07 1.301665292885445524e-06
5.435820185084594414e-07 5.834648959535115864e-07
5.343019324755005073e-07 6.336047704280645121e-07
5.076562956674024463e-07 1.129076622419233900e-06
4.864334641752066091e-07 7.853551551306736656e-07
4.854669555243162904e-07 7.263561201398260891e-07
4.721582342881447403e-07 8.807522817733115517e-07
4.508701749728061259e-07 9.810536312215845101e-07
4.433568676631693961e-07 7.275570510500983801e-07
4.179356380973331397e-07 8.516470870745251887e-07
4.112596059258066816e-07 9.242986038771050517e-07
3.992472557001747191e-07 9.454746532355784439e-07
3.950162579258176265e-07 1.192391778204182629e-06
3.797778731495782267e-07 8.666866051498800516e-07
3.759105595690925838e-07 9.489497188042150810e-07
3.643485797510948032e-07 1.062730234480113722e-06
3.646969162218738347e-07 9.672843361840932630e-07
3.492997677767561981e-07 9.851275990513386205e-07
3.410551983051846037e-07 1.004814407679077704e-06
3.368641898759960895e-07 1.083519350686401594e-06
3.322132897665142082e-07 1.051411231856036466e-06
3.199679952103906544e-07 1.144480165748973377e-06
3.192498638782126363e-07 1.148802198258636054e-06
3.111852606707543600e-07 1.212252982440986671e-06
3.056623825159476837e-07 1.183565814244502690e-06
3.012337685959209921e-07 1.217665612784912810e-06
2.966941394788591424e-07 1.324894014942401554e-06
2.920781412285577971e-07 1.285723328692256473e-06
2.884992511553718941e-07 1.310748530158889480e-06
2.821390410190360853e-07 1.354393134533893317e-06
2.766245472685113782e-07 1.427962956768169533e-06
2.740444813298381632e-07 1.356183361167495605e-06
2.675487564829381881e-07 1.391436626363429241e-06
2.666279499408119591e-07 1.401959139002428856e-06
2.648904455782030709e-07 1.462901764170965180e-06
2.599140884740336332e-07 1.445695488655474037e-06
2.586904770396358799e-07 1.490291651862207800e-06
2.531311622533394257e-07 1.533987415314186364e-06
2.507924818928586319e-07 1.486249288973340299e-06
2.499896254448685795e-07 1.487046461079444271e-06
2.464900319409935037e-07 1.514919176770490594e-06
2.431621624054969288e-07 1.531075326965947170e-06
2.409213379905850161e-07 1.539290224172873423e-06
2.385276616223563906e-07 1.550804199723643251e-06
2.363845084119020612e-07 1.537168714094150346e-06
