time,abs_mean_error,abs_std_error
0.000000000000000000e+00,4.470348358154296875e-06,1.132488250732421875e-06
1.000000000000000021e-02,1.356124877929687500e-03,9.444739222526550293e-01
2.000000000000000042e-02,7.436275482177734375e-04,1.511580705642700195e+00
2.999999999999999889e-02,3.466606140136718750e-03,1.963153839111328125e+00
4.000000000000000083e-02,4.238009452819824219e-03,2.347668647766113281e+00
5.000000000000000278e-02,3.770947456359863281e-03,2.691385269165039062e+00
5.999999999999999778e-02,4.743337631225585938e-04,3.029380083084106445e+00
7.000000000000000666e-02,9.747743606567382812e-03,3.342748165130615234e+00
8.000000000000000167e-02,3.621578216552734375e-04,3.650977134704589844e+00
8.999999999999999667e-02,7.476091384887695312e-03,3.940508127212524414e+00
1.000000000000000056e-01,8.838176727294921875e-04,4.212872028350830078e+00
1.100000000000000006e-01,2.584457397460937500e-03,4.488407611846923828e+00
1.199999999999999956e-01,1.061642169952392578e-02,4.761912345886230469e+00
1.300000000000000044e-01,1.492249965667724609e-02,5.022422313690185547e+00
1.400000000000000133e-01,1.932764053344726562e-02,5.284458160400390625e+00
1.499999999999999944e-01,2.767670154571533203e-02,5.543002605438232422e+00
1.600000000000000033e-01,3.912639617919921875e-02,5.810937881469726562e+00
1.700000000000000122e-01,3.311216831207275391e-02,6.077021598815917969e+00
1.799999999999999933e-01,4.088973999023437500e-02,6.320814132690429688e+00
1.900000000000000022e-01,4.195940494537353516e-02,6.587075710296630859e+00
2.000000000000000111e-01,4.914855957031250000e-02,6.848001956939697266e+00
2.099999999999999922e-01,6.175827980041503906e-02,7.104779720306396484e+00
2.200000000000000011e-01,7.644438743591308594e-02,7.369919776916503906e+00
2.300000000000000100e-01,7.496893405914306641e-02,7.638513565063476562e+00
2.399999999999999911e-01,8.684802055358886719e-02,7.892759323120117188e+00
2.500000000000000000e-01,9.691298007965087891e-02,8.163825988769531250e+00
2.600000000000000089e-01,9.679603576660156250e-02,8.428279876708984375e+00
2.700000000000000178e-01,9.903728961944580078e-02,8.690587043762207031e+00
2.800000000000000266e-01,1.041941642761230469e-01,8.964871406555175781e+00
2.899999999999999800e-01,1.107702255249023438e-01,9.227346420288085938e+00
2.999999999999999889e-01,1.126496791839599609e-01,9.510313034057617188e+00
3.099999999999999978e-01,1.163773536682128906e-01,9.796362876892089844e+00
3.200000000000000067e-01,1.154214143753051758e-01,1.010092163085937500e+01
3.300000000000000155e-01,1.193046569824218750e-01,1.040697479248046875e+01
3.400000000000000244e-01,1.344420909881591797e-01,1.070991134643554688e+01
3.500000000000000333e-01,1.370998620986938477e-01,1.102723312377929688e+01
3.599999999999999867e-01,1.398694515228271484e-01,1.135263252258300781e+01
3.699999999999999956e-01,1.527943611145019531e-01,1.168618011474609375e+01
3.800000000000000044e-01,1.637886762619018555e-01,1.201079940795898438e+01
3.900000000000000133e-01,1.770604848861694336e-01,1.235668182373046875e+01
4.000000000000000222e-01,1.960823535919189453e-01,1.267188072204589844e+01
4.100000000000000311e-01,1.949565410614013672e-01,1.302421569824218750e+01
4.199999999999999845e-01,2.139773368835449219e-01,1.335051727294921875e+01
4.299999999999999933e-01,2.214944362640380859e-01,1.369958305358886719e+01
4.400000000000000022e-01,2.342157363891601562e-01,1.406514739990234375e+01
4.500000000000000111e-01,2.458148002624511719e-01,1.445126628875732422e+01
4.600000000000000200e-01,2.682328224182128906e-01,1.483819198608398438e+01
4.700000000000000289e-01,2.703926563262939453e-01,1.523755931854248047e+01
4.799999999999999822e-01,2.638599872589111328e-01,1.567175865173339844e+01
4.899999999999999911e-01,2.744295597076416016e-01,1.607681846618652344e+01
5.000000000000000000e-01,2.796523571014404297e-01,1.649835395812988281e+01
