time,abs_mean_error,abs_std_error
5.000000000000000000e-01,6.385369300842285156e-01,2.726364135742187500e-01
5.100000000000000089e-01,6.559600830078125000e-01,2.752380371093750000e-01
5.200000000000000178e-01,6.781477928161621094e-01,2.949216365814208984e-01
5.300000000000000266e-01,7.024049758911132812e-01,3.025827407836914062e-01
5.400000000000000355e-01,7.233703136444091797e-01,3.076765537261962891e-01
5.500000000000000444e-01,7.442629337310791016e-01,3.083376884460449219e-01
5.600000000000000533e-01,7.664544582366943359e-01,3.118824958801269531e-01
5.700000000000000622e-01,7.890105247497558594e-01,3.173530101776123047e-01
5.799999999999999600e-01,8.097972869873046875e-01,3.201222419738769531e-01
5.899999999999999689e-01,8.326883316040039062e-01,3.456907272338867188e-01
5.999999999999999778e-01,8.541646003723144531e-01,3.556048870086669922e-01
6.099999999999999867e-01,8.744881153106689453e-01,3.582377433776855469e-01
6.199999999999999956e-01,8.943507671356201172e-01,3.739809989929199219e-01
6.300000000000000044e-01,9.124670028686523438e-01,3.626232147216796875e-01
6.400000000000000133e-01,9.286215305328369141e-01,3.677654266357421875e-01
6.500000000000000222e-01,9.462425708770751953e-01,3.514962196350097656e-01
6.600000000000000311e-01,9.749751091003417969e-01,3.720097541809082031e-01
6.700000000000000400e-01,9.973263740539550781e-01,3.813567161560058594e-01
6.800000000000000488e-01,1.014873027801513672e+00,3.549475669860839844e-01
6.900000000000000577e-01,1.036770105361938477e+00,3.353829383850097656e-01
7.000000000000000666e-01,1.067456960678100586e+00,3.647599220275878906e-01
7.099999999999999645e-01,1.092659950256347656e+00,3.576140403747558594e-01
7.199999999999999734e-01,1.116420269012451172e+00,3.542757034301757812e-01
7.299999999999999822e-01,1.142617702484130859e+00,3.333692550659179688e-01
7.399999999999999911e-01,1.167893409729003906e+00,3.047709465026855469e-01
7.500000000000000000e-01,1.187070846557617188e+00,2.679214477539062500e-01
7.600000000000000089e-01,1.215055465698242188e+00,3.045248985290527344e-01
7.700000000000000178e-01,1.238080501556396484e+00,2.722296714782714844e-01
7.800000000000000266e-01,1.252821922302246094e+00,2.244987487792968750e-01
7.900000000000000355e-01,1.272715568542480469e+00,2.210259437561035156e-01
8.000000000000000444e-01,1.288235187530517578e+00,1.705803871154785156e-01
8.100000000000000533e-01,1.313885211944580078e+00,1.582021713256835938e-01
8.200000000000000622e-01,1.329622745513916016e+00,1.271204948425292969e-01
8.300000000000000711e-01,1.350215911865234375e+00,7.118129730224609375e-02
8.399999999999999689e-01,1.372936725616455078e+00,5.071640014648437500e-03
8.499999999999999778e-01,1.399989604949951172e+00,1.854038238525390625e-02
8.599999999999999867e-01,1.425063610076904297e+00,3.269100189208984375e-02
8.699999999999999956e-01,1.450765132904052734e+00,1.326646804809570312e-01
