time,abs_mean_error,abs_std_error
0.000000000000000000e+00,4.470348358154296875e-06,1.132488250732421875e-06
1.000000000000000021e-02,2.027750015258789062e-04,3.302012681961059570e-01
2.000000000000000042e-02,4.745721817016601562e-04,5.703666806221008301e-01
2.999999999999999889e-02,1.064777374267578125e-03,7.707922458648681641e-01
4.000000000000000083e-02,1.609086990356445312e-03,9.468453526496887207e-01
5.000000000000000278e-02,7.642507553100585938e-04,1.112612962722778320e+00
5.999999999999999778e-02,6.488084793090820312e-03,1.262353420257568359e+00
7.000000000000000666e-02,8.288502693176269531e-03,1.410167574882507324e+00
8.000000000000000167e-02,8.596181869506835938e-03,1.550399422645568848e+00
8.999999999999999667e-02,6.520628929138183594e-03,1.679463624954223633e+00
1.000000000000000056e-01,1.214158535003662109e-02,1.807515382766723633e+00
1.100000000000000006e-01,2.138721942901611328e-02,1.931233644485473633e+00
1.199999999999999956e-01,2.922391891479492188e-02,2.046240568161010742e+00
1.300000000000000044e-01,2.889490127563476562e-02,2.170458793640136719e+00
1.400000000000000133e-01,2.617549896240234375e-02,2.294188261032104492e+00
1.499999999999999944e-01,2.685189247131347656e-02,2.417370796203613281e+00
1.600000000000000033e-01,2.575993537902832031e-02,2.539971351623535156e+00
1.700000000000000122e-01,2.808308601379394531e-02,2.663542270660400391e+00
1.799999999999999933e-01,2.474617958068847656e-02,2.776141405105590820e+00
1.900000000000000022e-01,3.191781044006347656e-02,2.897791385650634766e+00
2.000000000000000111e-01,3.640842437744140625e-02,3.014364719390869141e+00
2.099999999999999922e-01,4.053199291229248047e-02,3.128703594207763672e+00
2.200000000000000011e-01,4.368281364440917969e-02,3.251349687576293945e+00
2.300000000000000100e-01,4.613029956817626953e-02,3.376418352127075195e+00
2.399999999999999911e-01,4.573953151702880859e-02,3.504287719726562500e+00
2.500000000000000000e-01,5.377018451690673828e-02,3.624878406524658203e+00
2.600000000000000089e-01,6.140732765197753906e-02,3.750757694244384766e+00
2.700000000000000178e-01,6.970727443695068359e-02,3.875364303588867188e+00
2.800000000000000266e-01,7.815921306610107422e-02,4.001437187194824219e+00
2.899999999999999800e-01,7.942450046539306641e-02,4.126701831817626953e+00
2.999999999999999889e-01,8.371758460998535156e-02,4.257843017578125000e+00
3.099999999999999978e-01,8.983612060546875000e-02,4.391699790954589844e+00
3.200000000000000067e-01,1.029359102249145508e-01,4.525061130523681641e+00
3.300000000000000155e-01,1.107189655303955078e-01,4.654788017272949219e+00
3.400000000000000244e-01,1.171845197677612305e-01,4.793921947479248047e+00
3.500000000000000333e-01,1.260862350463867188e-01,4.943747997283935547e+00
3.599999999999999867e-01,1.238603591918945312e-01,5.104766845703125000e+00
3.699999999999999956e-01,1.316349506378173828e-01,5.266312122344970703e+00
3.800000000000000044e-01,1.422417163848876953e-01,5.399564743041992188e+00
3.900000000000000133e-01,1.481444835662841797e-01,5.558174133300781250e+00
4.000000000000000222e-01,1.622757911682128906e-01,5.727046489715576172e+00
4.100000000000000311e-01,1.746106147766113281e-01,5.890074729919433594e+00
4.199999999999999845e-01,1.747605800628662109e-01,6.065578460693359375e+00
4.299999999999999933e-01,1.949191093444824219e-01,6.225600719451904297e+00
4.400000000000000022e-01,2.065005302429199219e-01,6.396954059600830078e+00
4.500000000000000111e-01,2.069854736328125000e-01,6.601492881774902344e+00
4.600000000000000200e-01,2.257008552551269531e-01,6.775463104248046875e+00
4.700000000000000289e-01,2.412185668945312500e-01,6.963566780090332031e+00
4.799999999999999822e-01,2.534382343292236328e-01,7.152829170227050781e+00
4.899999999999999911e-01,2.732763290405273438e-01,7.354916572570800781e+00
5.000000000000000000e-01,2.828080654144287109e-01,7.571288108825683594e+00
