time,abs_mean_error,abs_std_error
0.000000000000000000e+00,4.470348358154296875e-06,1.311302185058593750e-06
1.000000000000000021e-02,2.902746200561523438e-03,8.583068847656250000e-04
2.000000000000000042e-02,7.509112358093261719e-03,1.651048660278320312e-03
2.999999999999999889e-02,1.079714298248291016e-02,2.694964408874511719e-03
4.000000000000000083e-02,1.423013210296630859e-02,5.144953727722167969e-03
5.000000000000000278e-02,1.799428462982177734e-02,4.645109176635742188e-03
5.999999999999999778e-02,2.162611484527587891e-02,5.686402320861816406e-03
7.000000000000000666e-02,2.599406242370605469e-02,6.819903850555419922e-03
8.000000000000000167e-02,3.090310096740722656e-02,9.521365165710449219e-03
8.999999999999999667e-02,3.486931324005126953e-02,8.309781551361083984e-03
1.000000000000000056e-01,3.805053234100341797e-02,6.613135337829589844e-03
1.100000000000000006e-01,3.892838954925537109e-02,4.645287990570068359e-03
1.199999999999999956e-01,4.151380062103271484e-02,6.200075149536132812e-03
1.300000000000000044e-01,4.451835155487060547e-02,5.693852901458740234e-03
1.400000000000000133e-01,4.835999011993408203e-02,3.688275814056396484e-03
1.499999999999999944e-01,5.278384685516357422e-02,4.065752029418945312e-03
1.600000000000000033e-01,5.614209175109863281e-02,2.984523773193359375e-03
1.700000000000000122e-01,6.082391738891601562e-02,4.582524299621582031e-03
1.799999999999999933e-01,6.545805931091308594e-02,5.424380302429199219e-03
1.900000000000000022e-01,6.973481178283691406e-02,6.208419799804687500e-03
2.000000000000000111e-01,7.274138927459716797e-02,2.718567848205566406e-03
2.099999999999999922e-01,7.624888420104980469e-02,1.241922378540039062e-03
2.200000000000000011e-01,7.945740222930908203e-02,2.983927726745605469e-03
2.300000000000000100e-01,8.593511581420898438e-02,4.299998283386230469e-03
2.399999999999999911e-01,9.073984622955322266e-02,4.900217056274414062e-03
2.500000000000000000e-01,9.451282024383544922e-02,5.770206451416015625e-03
2.600000000000000089e-01,9.874773025512695312e-02,4.820108413696289062e-03
2.700000000000000178e-01,1.033661365509033203e-01,4.439592361450195312e-03
2.800000000000000266e-01,1.080269813537597656e-01,6.722092628479003906e-03
2.899999999999999800e-01,1.147105693817138672e-01,7.553458213806152344e-03
2.999999999999999889e-01,1.199703216552734375e-01,8.114814758300781250e-03
3.099999999999999978e-01,1.241775751113891602e-01,6.578326225280761719e-03
3.200000000000000067e-01,1.301389932632446289e-01,1.316452026367187500e-02
3.300000000000000155e-01,1.347297430038452148e-01,8.638858795166015625e-03
3.400000000000000244e-01,1.401681900024414062e-01,6.306290626525878906e-03
3.500000000000000333e-01,1.471065282821655273e-01,1.302683353424072266e-02
3.599999999999999867e-01,1.540327072143554688e-01,2.072167396545410156e-02
3.699999999999999956e-01,1.610743999481201172e-01,2.867078781127929688e-02
3.800000000000000044e-01,1.650516986846923828e-01,2.217125892639160156e-02
3.900000000000000133e-01,1.688952445983886719e-01,2.418756484985351562e-02
4.000000000000000222e-01,1.739871501922607422e-01,2.294301986694335938e-02
4.100000000000000311e-01,1.813490390777587891e-01,2.636408805847167969e-02
4.199999999999999845e-01,1.904358863830566406e-01,3.059196472167968750e-02
4.299999999999999933e-01,1.997404098510742188e-01,3.958249092102050781e-02
4.400000000000000022e-01,2.037351131439208984e-01,3.533101081848144531e-02
4.500000000000000111e-01,2.121696472167968750e-01,4.866552352905273438e-02
4.600000000000000200e-01,2.198855876922607422e-01,5.616760253906250000e-02
4.700000000000000289e-01,2.288734912872314453e-01,6.145358085632324219e-02
4.799999999999999822e-01,2.403297424316406250e-01,7.321596145629882812e-02
4.899999999999999911e-01,2.453966140747070312e-01,8.199453353881835938e-02
5.000000000000000000e-01,2.522616386413574219e-01,8.145999908447265625e-02
5.100000000000000089e-01,2.580616474151611328e-01,8.390903472900390625e-02
5.200000000000000178e-01,2.679669857025146484e-01,1.028227806091308594e-01
5.300000000000000266e-01,2.798955440521240234e-01,1.101939678192138672e-01
5.400000000000000355e-01,2.885801792144775391e-01,1.166419982910156250e-01
5.500000000000000444e-01,2.971880435943603516e-01,1.178004741668701172e-01
5.600000000000000533e-01,3.071694374084472656e-01,1.223425865173339844e-01
5.700000000000000622e-01,3.170850276947021484e-01,1.294190883636474609e-01
5.799999999999999600e-01,3.250496387481689453e-01,1.303451061248779297e-01
5.899999999999999689e-01,3.354585170745849609e-01,1.600916385650634766e-01
5.999999999999999778e-01,3.446538448333740234e-01,1.730802059173583984e-01
6.099999999999999867e-01,3.521745204925537109e-01,1.780428886413574219e-01
6.199999999999999956e-01,3.592324256896972656e-01,1.989579200744628906e-01
6.300000000000000044e-01,3.643679618835449219e-01,1.912155151367187500e-01
6.400000000000000133e-01,3.682370185852050781e-01,2.032732963562011719e-01
6.500000000000000222e-01,3.736536502838134766e-01,1.947207450866699219e-01
6.600000000000000311e-01,3.891639709472656250e-01,2.216615676879882812e-01
6.700000000000000400e-01,3.989624977111816406e-01,2.364139556884765625e-01
6.800000000000000488e-01,4.035902023315429688e-01,2.141737937927246094e-01
6.900000000000000577e-01,4.129736423492431641e-01,2.057232856750488281e-01
7.000000000000000666e-01,4.308450222015380859e-01,2.429146766662597656e-01
7.099999999999999645e-01,4.432826042175292969e-01,2.431621551513671875e-01
7.199999999999999734e-01,4.540748596191406250e-01,2.451620101928710938e-01
7.299999999999999822e-01,4.677886962890625000e-01,2.353005409240722656e-01
7.399999999999999911e-01,4.813513755798339844e-01,2.223262786865234375e-01
7.500000000000000000e-01,4.879927635192871094e-01,1.961631774902343750e-01
7.600000000000000089e-01,5.035963058471679688e-01,2.412037849426269531e-01
7.700000000000000178e-01,5.148100852966308594e-01,2.244658470153808594e-01
7.800000000000000266e-01,5.183262825012207031e-01,1.936626434326171875e-01
7.900000000000000355e-01,5.267996788024902344e-01,2.019362449645996094e-01
8.000000000000000444e-01,5.313539505004882812e-01,1.663374900817871094e-01
8.100000000000000533e-01,5.456056594848632812e-01,1.738014221191406250e-01
8.200000000000000622e-01,5.511727333068847656e-01,1.566948890686035156e-01
8.300000000000000711e-01,5.607299804687500000e-01,1.102266311645507812e-01
8.399999999999999689e-01,5.733428001403808594e-01,6.550502777099609375e-02
8.499999999999999778e-01,5.897717475891113281e-01,6.249952316284179688e-02
8.599999999999999867e-01,6.036944389343261719e-01,6.232118606567382812e-02
8.699999999999999956e-01,6.190376281738281250e-01,1.526165008544921875e-02
8.800000000000000044e-01,6.412844657897949219e-01,3.984832763671875000e-02
8.900000000000000133e-01,6.568503379821777344e-01,8.106422424316406250e-02
9.000000000000000222e-01,6.635613441467285156e-01,1.133003234863281250e-01
9.100000000000000311e-01,6.699538230895996094e-01,1.561260223388671875e-01
9.200000000000000400e-01,6.829414367675781250e-01,2.167654037475585938e-01
9.300000000000000488e-01,6.915249824523925781e-01,2.469205856323242188e-01
9.400000000000000577e-01,6.858763694763183594e-01,3.527650833129882812e-01
9.500000000000000666e-01,7.065024375915527344e-01,3.603391647338867188e-01
9.599999999999999645e-01,7.074589729309082031e-01,5.207834243774414062e-01
9.699999999999999734e-01,7.287826538085937500e-01,5.684432983398437500e-01
9.799999999999999822e-01,7.416267395019531250e-01,5.256023406982421875e-01
9.899999999999999911e-01,7.613224983215332031e-01,5.287199020385742188e-01
1.000000000000000000e+00,7.720241546630859375e-01,6.581315994262695312e-01
