time,abs_mean_error,abs_std_error
0.000000000000000000e+00,4.768371582031250000e-07,4.470348358154296875e-08
1.000000000000000021e-02,8.249282836914062500e-05,8.676946163177490234e-04
2.000000000000000042e-02,3.489851951599121094e-04,1.612678170204162598e-03
2.999999999999999889e-02,5.645751953125000000e-04,2.498582005500793457e-03
4.000000000000000083e-02,6.713271141052246094e-04,3.174826502799987793e-03
5.000000000000000278e-02,9.841918945312500000e-04,3.885224461555480957e-03
5.999999999999999778e-02,1.058757305145263672e-03,4.717856645584106445e-03
7.000000000000000666e-02,1.407206058502197266e-03,5.439490079879760742e-03
8.000000000000000167e-02,1.411616802215576172e-03,6.238341331481933594e-03
8.999999999999999667e-02,1.603484153747558594e-03,6.842240691184997559e-03
1.000000000000000056e-01,1.733779907226562500e-03,7.397025823593139648e-03
1.100000000000000006e-01,1.963138580322265625e-03,8.057966828346252441e-03
1.199999999999999956e-01,2.025544643402099609e-03,8.809924125671386719e-03
1.300000000000000044e-01,2.072870731353759766e-03,9.313866496086120605e-03
1.400000000000000133e-01,2.124130725860595703e-03,1.006536185741424561e-02
1.499999999999999944e-01,2.080500125885009766e-03,1.082761585712432861e-02
1.600000000000000033e-01,2.017080783843994141e-03,1.148036122322082520e-02
1.700000000000000122e-01,2.350151538848876953e-03,1.209785044193267822e-02
1.799999999999999933e-01,2.525269985198974609e-03,1.272621750831604004e-02
1.900000000000000022e-01,2.660751342773437500e-03,1.352037489414215088e-02
2.000000000000000111e-01,2.786457538604736328e-03,1.430477201938629150e-02
2.099999999999999922e-01,2.851068973541259766e-03,1.501131057739257812e-02
2.200000000000000011e-01,2.814114093780517578e-03,1.580856740474700928e-02
2.300000000000000100e-01,2.997457981109619141e-03,1.644627749919891357e-02
2.399999999999999911e-01,3.020763397216796875e-03,1.710368692874908447e-02
2.500000000000000000e-01,3.109455108642578125e-03,1.783490180969238281e-02
2.600000000000000089e-01,3.361463546752929688e-03,1.832865178585052490e-02
2.700000000000000178e-01,3.578364849090576172e-03,1.886243373155593872e-02
2.800000000000000266e-01,3.757536411285400391e-03,1.936113834381103516e-02
2.899999999999999800e-01,3.952383995056152344e-03,2.003329247236251831e-02
2.999999999999999889e-01,4.141986370086669922e-03,2.062378823757171631e-02
3.099999999999999978e-01,4.298210144042968750e-03,2.121923863887786865e-02
3.200000000000000067e-01,4.370689392089843750e-03,2.186785638332366943e-02
3.300000000000000155e-01,4.370987415313720703e-03,2.242837846279144287e-02
3.400000000000000244e-01,4.289150238037109375e-03,2.306079864501953125e-02
3.500000000000000333e-01,4.430830478668212891e-03,2.355470508337020874e-02
3.599999999999999867e-01,4.523992538452148438e-03,2.402192354202270508e-02
3.699999999999999956e-01,4.544794559478759766e-03,2.472422271966934204e-02
3.800000000000000044e-01,4.602968692779541016e-03,2.533657103776931763e-02
3.900000000000000133e-01,4.561901092529296875e-03,2.593430131673812866e-02
4.000000000000000222e-01,4.506945610046386719e-03,2.634000778198242188e-02
4.100000000000000311e-01,4.655361175537109375e-03,2.695216238498687744e-02
4.199999999999999845e-01,4.728138446807861328e-03,2.742474526166915894e-02
4.299999999999999933e-01,4.871845245361328125e-03,2.803673595190048218e-02
4.400000000000000022e-01,4.924952983856201172e-03,2.849910408258438110e-02
4.500000000000000111e-01,4.906475543975830078e-03,2.908678352832794189e-02
4.600000000000000200e-01,4.719138145446777344e-03,2.975419908761978149e-02
4.700000000000000289e-01,4.843831062316894531e-03,3.022941201925277710e-02
4.799999999999999822e-01,4.984796047210693359e-03,3.070069104433059692e-02
4.899999999999999911e-01,5.093216896057128906e-03,3.119193762540817261e-02
5.000000000000000000e-01,5.185365676879882812e-03,3.153011202812194824e-02
5.100000000000000089e-01,5.217015743255615234e-03,3.194595128297805786e-02
5.200000000000000178e-01,5.509614944458007812e-03,3.225954622030258179e-02
5.300000000000000266e-01,5.759477615356445312e-03,3.288555145263671875e-02
