time,abs_mean_error,abs_std_error
7.600000000000000089e-01,3.395438194274902344e-03,1.569427549839019775e-03
7.700000000000000178e-01,3.357648849487304688e-03,1.690611243247985840e-03
7.800000000000000266e-01,3.429770469665527344e-03,1.631818711757659912e-03
7.900000000000000355e-01,3.413856029510498047e-03,1.676738262176513672e-03
8.000000000000000444e-01,3.368794918060302734e-03,1.830756664276123047e-03
8.100000000000000533e-01,3.568053245544433594e-03,1.870378851890563965e-03
8.200000000000000622e-01,3.493607044219970703e-03,1.955360174179077148e-03
8.300000000000000711e-01,3.387033939361572266e-03,1.863926649093627930e-03
8.399999999999999689e-01,3.486514091491699219e-03,1.963920891284942627e-03
8.499999999999999778e-01,3.629028797149658203e-03,1.974798738956451416e-03
8.599999999999999867e-01,3.459215164184570312e-03,1.979809254407882690e-03
8.699999999999999956e-01,3.487884998321533203e-03,1.990355551242828369e-03
8.800000000000000044e-01,3.783106803894042969e-03,2.073701471090316772e-03
8.900000000000000133e-01,3.829777240753173828e-03,2.081863582134246826e-03
9.000000000000000222e-01,3.858268260955810547e-03,2.084217965602874756e-03
9.100000000000000311e-01,3.705441951751708984e-03,2.004824578762054443e-03
9.200000000000000400e-01,3.783047199249267578e-03,2.060350030660629272e-03
9.300000000000000488e-01,3.833889961242675781e-03,2.012006938457489014e-03
9.400000000000000577e-01,3.802418708801269531e-03,2.177324146032333374e-03
9.500000000000000666e-01,3.844618797302246094e-03,2.292905002832412720e-03
9.599999999999999645e-01,3.892421722412109375e-03,2.375092357397079468e-03
9.699999999999999734e-01,3.835856914520263672e-03,2.495449036359786987e-03
9.799999999999999822e-01,3.724694252014160156e-03,2.426803112030029297e-03
9.899999999999999911e-01,3.870606422424316406e-03,2.542212605476379395e-03
1.000000000000000000e+00,3.960609436035156250e-03,2.461113035678863525e-03
1.010000000000000009e+00,3.942549228668212891e-03,2.455145120620727539e-03
1.020000000000000018e+00,3.985524177551269531e-03,2.437409013509750366e-03
1.030000000000000027e+00,4.103064537048339844e-03,2.437271177768707275e-03
1.040000000000000036e+00,4.255354404449462891e-03,2.303462475538253784e-03
1.050000000000000044e+00,4.397928714752197266e-03,2.242170274257659912e-03
1.060000000000000053e+00,4.479885101318359375e-03,2.198137342929840088e-03
1.070000000000000062e+00,4.543125629425048828e-03,2.273440361022949219e-03
1.080000000000000071e+00,4.572689533233642578e-03,2.355940639972686768e-03
1.090000000000000080e+00,4.596114158630371094e-03,2.374462783336639404e-03
1.100000000000000089e+00,4.646658897399902344e-03,2.333011478185653687e-03
1.110000000000000098e+00,4.620909690856933594e-03,2.514753490686416626e-03
1.120000000000000107e+00,4.597425460815429688e-03,2.614490687847137451e-03
1.130000000000000115e+00,4.466712474822998047e-03,2.538286149501800537e-03
1.140000000000000124e+00,4.548013210296630859e-03,2.607256174087524414e-03
1.150000000000000133e+00,4.505336284637451172e-03,2.740696072578430176e-03
1.159999999999999920e+00,4.451334476470947266e-03,2.593029290437698364e-03
1.169999999999999929e+00,4.463851451873779297e-03,2.630956470966339111e-03
1.179999999999999938e+00,4.517912864685058594e-03,2.817664295434951782e-03
1.189999999999999947e+00,4.491031169891357422e-03,2.832997590303421021e-03
1.199999999999999956e+00,4.383087158203125000e-03,2.807021141052246094e-03
1.209999999999999964e+00,4.141867160797119141e-03,2.886589616537094116e-03
1.219999999999999973e+00,4.190981388092041016e-03,3.040328621864318848e-03
1.229999999999999982e+00,4.035115242004394531e-03,2.796445041894912720e-03
1.239999999999999991e+00,3.895759582519531250e-03,2.929065376520156860e-03
1.250000000000000000e+00,3.935933113098144531e-03,3.011059015989303589e-03
1.260000000000000009e+00,3.901600837707519531e-03,3.159798681735992432e-03
1.270000000000000018e+00,3.995835781097412109e-03,3.226973116397857666e-03
1.280000000000000027e+00,4.027664661407470703e-03,3.286167979240417480e-03
1.290000000000000036e+00,4.046022891998291016e-03,3.284744918346405029e-03
1.300000000000000044e+00,4.024744033813476562e-03,3.098394721746444702e-03
1.310000000000000053e+00,3.964483737945556641e-03,3.147516399621963501e-03
1.320000000000000062e+00,3.954768180847167969e-03,2.990633249282836914e-03
1.330000000000000071e+00,3.923356533050537109e-03,3.059417009353637695e-03
1.340000000000000080e+00,3.925621509552001953e-03,3.139439970254898071e-03
1.350000000000000089e+00,3.854513168334960938e-03,3.171239048242568970e-03
1.360000000000000098e+00,3.905534744262695312e-03,3.072552382946014404e-03
1.370000000000000107e+00,3.994405269622802734e-03,3.070298582315444946e-03
1.380000000000000115e+00,3.910183906555175781e-03,3.184560686349868774e-03
1.390000000000000124e+00,4.058301448822021484e-03,3.340192139148712158e-03
1.400000000000000133e+00,4.116177558898925781e-03,3.467340022325515747e-03
1.409999999999999920e+00,4.352807998657226562e-03,3.518275916576385498e-03
1.419999999999999929e+00,4.336953163146972656e-03,3.613688051700592041e-03
1.429999999999999938e+00,4.363059997558593750e-03,3.508843481540679932e-03
1.439999999999999947e+00,4.432857036590576172e-03,3.364585340023040771e-03
1.449999999999999956e+00,4.381597042083740234e-03,3.228418529033660889e-03
1.459999999999999964e+00,4.379630088806152344e-03,3.119684755802154541e-03
1.469999999999999973e+00,4.396975040435791016e-03,3.057379275560379028e-03
1.479999999999999982e+00,4.585504531860351562e-03,2.946231514215469360e-03
1.489999999999999991e+00,4.675567150115966797e-03,3.020256757736206055e-03
1.500000000000000000e+00,4.504680633544921875e-03,2.848699688911437988e-03
1.510000000000000009e+00,4.479348659515380859e-03,2.849742770195007324e-03
1.520000000000000018e+00,4.565000534057617188e-03,3.122285008430480957e-03
1.530000000000000027e+00,4.652500152587890625e-03,3.293722867965698242e-03
1.540000000000000036e+00,4.568278789520263672e-03,3.129355609416961670e-03
1.550000000000000044e+00,4.586160182952880859e-03,3.079190850257873535e-03
1.560000000000000053e+00,4.451453685760498047e-03,3.013718873262405396e-03
1.570000000000000062e+00,4.519581794738769531e-03,3.030020743608474731e-03
1.580000000000000071e+00,4.477560520172119141e-03,3.131564706563949585e-03
1.590000000000000080e+00,4.451990127563476562e-03,3.112066537141799927e-03
1.600000000000000089e+00,4.359662532806396484e-03,3.224566578865051270e-03
1.610000000000000098e+00,4.348158836364746094e-03,3.247581422328948975e-03
1.620000000000000107e+00,4.477977752685546875e-03,3.352142870426177979e-03
1.630000000000000115e+00,4.264831542968750000e-03,3.363352268934249878e-03
1.640000000000000124e+00,4.248261451721191406e-03,3.268182277679443359e-03
1.650000000000000133e+00,4.185020923614501953e-03,3.227178007364273071e-03
1.660000000000000142e+00,4.254281520843505859e-03,3.142558038234710693e-03
1.669999999999999929e+00,4.186213016510009766e-03,3.320112824440002441e-03
1.679999999999999938e+00,4.171073436737060547e-03,3.359824419021606445e-03
1.689999999999999947e+00,4.154205322265625000e-03,3.551635891199111938e-03
1.699999999999999956e+00,4.129052162170410156e-03,3.496788442134857178e-03
1.709999999999999964e+00,4.121065139770507812e-03,3.420177847146987915e-03
1.719999999999999973e+00,4.251897335052490234e-03,3.544781357049942017e-03
1.729999999999999982e+00,4.297435283660888672e-03,3.582730889320373535e-03
1.739999999999999991e+00,4.194617271423339844e-03,3.606282174587249756e-03
1.750000000000000000e+00,4.248976707458496094e-03,3.746517002582550049e-03
1.760000000000000009e+00,4.354894161224365234e-03,3.869615495204925537e-03
1.770000000000000018e+00,4.542827606201171875e-03,3.819342702627182007e-03
1.780000000000000027e+00,4.584729671478271484e-03,3.814905881881713867e-03
1.790000000000000036e+00,4.469454288482666016e-03,3.781381994485855103e-03
1.800000000000000044e+00,4.577517509460449219e-03,3.796715289354324341e-03
1.810000000000000053e+00,4.556357860565185547e-03,3.806844353675842285e-03
1.820000000000000062e+00,4.584670066833496094e-03,3.792885690927505493e-03
1.830000000000000071e+00,4.665672779083251953e-03,3.786753863096237183e-03
1.840000000000000080e+00,4.636108875274658203e-03,3.691140562295913696e-03
1.850000000000000089e+00,4.461228847503662109e-03,3.634270280599594116e-03
1.860000000000000098e+00,4.530727863311767578e-03,3.674026578664779663e-03
1.870000000000000107e+00,4.447579383850097656e-03,3.638982772827148438e-03
1.880000000000000115e+00,4.583895206451416016e-03,3.653809428215026855e-03
1.890000000000000124e+00,4.782259464263916016e-03,3.765109926462173462e-03
1.900000000000000133e+00,4.838824272155761719e-03,3.705143928527832031e-03
